timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T01:26:59.4682415Z,5,0,4,0,0
2026-08-17T01:26:59.4736015Z,10,0,6,2,0
2026-08-17T01:26:59.4786521Z,17,0,6,3,0
2026-08-17T01:26:59.4837436Z,24,0,10,8,0
2026-08-17T01:26:59.488668Z,28,0,13,8,0
2026-08-17T01:26:59.4933706Z,31,0,13,8,0
2026-08-17T01:26:59.4987678Z,37,0,13,11,0
2026-08-17T01:26:59.5035528Z,45,0,13,13,0
2026-08-17T01:26:59.5085328Z,45,0,17,13,0
2026-08-17T01:26:59.5134481Z,50,0,17,14,0
2026-08-17T01:26:59.5185733Z,54,0,17,15,0
2026-08-17T01:26:59.5237371Z,53,0,23,15,0
2026-08-17T01:26:59.528619Z,57,0,24,17,0
2026-08-17T01:26:59.5336459Z,64,0,24,20,0
2026-08-17T01:26:59.5386133Z,68,0,24,21,0
2026-08-17T01:26:59.5433564Z,71,0,24,21,0
2026-08-17T01:26:59.5485869Z,74,0,24,22,0
2026-08-17T01:26:59.5537158Z,77,0,25,23,0
2026-08-17T01:26:59.5582633Z,82,0,25,24,0
2026-08-17T01:26:59.5634729Z,83,0,25,24,0
2026-08-17T01:26:59.5686477Z,86,0,25,24,0
2026-08-17T01:26:59.5743516Z,88,0,25,24,0
2026-08-17T01:26:59.5786303Z,90,0,25,24,0
2026-08-17T01:26:59.5836854Z,94,0,25,25,0
2026-08-17T01:26:59.5885128Z,96,0,26,25,0
2026-08-17T01:26:59.5937186Z,98,0,26,25,0
2026-08-17T01:26:59.5984853Z,101,0,26,27,0
2026-08-17T01:26:59.6033582Z,104,0,26,28,0
2026-08-17T01:26:59.6091205Z,109,0,26,29,0
2026-08-17T01:26:59.6135143Z,111,0,26,29,0
2026-08-17T01:26:59.6188314Z,113,0,28,29,0
2026-08-17T01:26:59.6235673Z,115,0,29,29,0
2026-08-17T01:26:59.6292615Z,122,0,29,33,0
2026-08-17T01:26:59.633593Z,125,0,29,33,0
2026-08-17T01:26:59.6384451Z,126,0,30,33,0
2026-08-17T01:26:59.6435658Z,131,0,30,34,0
2026-08-17T01:26:59.6482697Z,132,0,32,34,0
