timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T02:15:21.3425242Z,2,0,2,1,0
2026-08-17T02:15:21.3472674Z,5,0,3,1,0
2026-08-17T02:15:21.3523125Z,10,0,3,3,0
2026-08-17T02:15:21.3574449Z,14,0,5,3,0
2026-08-17T02:15:21.3623876Z,19,0,5,3,0
2026-08-17T02:15:21.3673665Z,23,0,5,3,0
2026-08-17T02:15:21.3722618Z,28,0,5,4,0
2026-08-17T02:15:21.3775267Z,34,0,5,4,0
2026-08-17T02:15:21.3823991Z,37,0,6,4,0
2026-08-17T02:15:21.3873974Z,40,0,11,4,0
2026-08-17T02:15:21.3923128Z,39,0,17,4,0
2026-08-17T02:15:21.3973555Z,42,0,18,4,0
2026-08-17T02:15:21.4025448Z,46,0,18,5,0
2026-08-17T02:15:21.4073593Z,52,0,18,8,0
2026-08-17T02:15:21.4121662Z,52,0,18,8,0
2026-08-17T02:15:21.4176082Z,57,0,18,9,0
2026-08-17T02:15:21.4225403Z,61,0,19,9,0
2026-08-17T02:15:21.4271736Z,64,0,20,9,0
2026-08-17T02:15:21.4329455Z,69,0,22,10,0
2026-08-17T02:15:21.4373384Z,75,0,22,12,0
2026-08-17T02:15:21.4426156Z,79,0,24,13,0
2026-08-17T02:15:21.4475545Z,84,0,28,13,0
2026-08-17T02:15:21.4526909Z,87,0,29,13,0
2026-08-17T02:15:21.4576723Z,89,0,29,13,0
2026-08-17T02:15:21.4626362Z,93,0,30,14,0
2026-08-17T02:15:21.4672032Z,95,0,31,14,0
2026-08-17T02:15:21.4728015Z,98,0,33,16,0
2026-08-17T02:15:21.4776082Z,103,0,33,17,0
2026-08-17T02:15:21.4823309Z,106,0,33,17,0
2026-08-17T02:15:21.4872721Z,108,0,35,17,0
2026-08-17T02:15:21.4925165Z,112,0,39,17,0
2026-08-17T02:15:21.4976159Z,117,0,39,19,0
2026-08-17T02:15:21.5026082Z,127,0,39,24,0
2026-08-17T02:15:21.5074812Z,136,0,39,30,0
2026-08-17T02:15:21.5123837Z,139,0,39,30,0
2026-08-17T02:15:21.5176902Z,143,0,42,30,0
2026-08-17T02:15:21.523096Z,145,0,44,30,0
2026-08-17T02:15:21.5273047Z,148,0,45,30,0
2026-08-17T02:15:21.5326474Z,151,0,46,30,0
2026-08-17T02:15:21.5371887Z,154,0,46,31,0
2026-08-17T02:15:21.5428555Z,157,0,46,31,0
2026-08-17T02:15:21.5480052Z,161,0,46,33,0
2026-08-17T02:15:21.5530477Z,165,0,46,33,0
2026-08-17T02:15:21.5580346Z,168,0,46,33,0
2026-08-17T02:15:21.5628376Z,170,0,46,34,0
2026-08-17T02:15:21.5675492Z,172,0,47,34,0
2026-08-17T02:15:21.5727304Z,175,0,47,34,0
2026-08-17T02:15:21.5776011Z,177,0,49,34,0
2026-08-17T02:15:21.5825664Z,179,0,51,34,0
2026-08-17T02:15:21.5872138Z,182,0,53,34,0
2026-08-17T02:15:21.592493Z,188,0,53,35,0
2026-08-17T02:15:21.5973298Z,190,0,53,35,0
2026-08-17T02:15:21.6022318Z,191,0,53,35,0
2026-08-17T02:15:21.6073308Z,197,0,53,38,0
2026-08-17T02:15:21.6122003Z,201,0,53,40,0
2026-08-17T02:15:21.6176392Z,203,0,53,41,0
2026-08-17T02:15:21.6226606Z,208,0,54,43,0
2026-08-17T02:15:21.6275164Z,211,0,55,43,0
2026-08-17T02:15:21.6326146Z,214,0,56,43,0
2026-08-17T02:15:21.6374314Z,219,0,56,45,0
2026-08-17T02:15:21.6426564Z,221,0,56,45,0
2026-08-17T02:15:21.6474784Z,224,0,57,45,0
2026-08-17T02:15:21.6522552Z,227,0,59,45,0
2026-08-17T02:15:21.6576913Z,231,0,59,45,0
2026-08-17T02:15:21.6628213Z,233,0,60,46,0
2026-08-17T02:15:21.6675655Z,235,0,60,46,0
2026-08-17T02:15:21.6723238Z,238,0,60,47,0
2026-08-17T02:15:21.6776072Z,243,0,61,47,0
2026-08-17T02:15:21.6822506Z,246,0,61,48,0
