timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T03:01:58.0190233Z,4,0,3,0,0
2026-08-17T03:01:58.0242384Z,10,0,5,1,0
2026-08-17T03:01:58.0289338Z,14,0,8,2,0
2026-08-17T03:01:58.0341926Z,17,0,14,2,0
2026-08-17T03:01:58.0391975Z,22,0,14,3,0
2026-08-17T03:01:58.044447Z,35,0,14,8,0
2026-08-17T03:01:58.0496614Z,38,0,15,8,0
2026-08-17T03:01:58.053919Z,44,0,15,8,0
2026-08-17T03:01:58.0588981Z,46,0,20,8,0
2026-08-17T03:01:58.0641371Z,51,0,23,10,0
2026-08-17T03:01:58.0693955Z,57,0,23,12,0
2026-08-17T03:01:58.0739977Z,60,0,24,12,0
2026-08-17T03:01:58.0789944Z,67,0,24,14,0
2026-08-17T03:01:58.0840711Z,68,0,27,14,0
2026-08-17T03:01:58.0892534Z,74,0,28,15,0
2026-08-17T03:01:58.0939744Z,76,0,28,15,0
2026-08-17T03:01:58.0992544Z,79,0,29,15,0
2026-08-17T03:01:58.1043263Z,84,0,32,16,0
2026-08-17T03:01:58.1089862Z,87,0,32,16,0
2026-08-17T03:01:58.1143609Z,90,0,33,16,0
2026-08-17T03:01:58.1191914Z,92,0,34,16,0
2026-08-17T03:01:58.1241912Z,94,0,36,16,0
2026-08-17T03:01:58.1291594Z,97,0,39,16,0
2026-08-17T03:01:58.1340896Z,103,0,39,18,0
2026-08-17T03:01:58.1389041Z,105,0,40,18,0
2026-08-17T03:01:58.144166Z,106,0,48,18,0
2026-08-17T03:01:58.1489278Z,111,0,52,19,0
2026-08-17T03:01:58.1544174Z,117,0,53,21,0
2026-08-17T03:01:58.1590091Z,120,0,53,21,0
2026-08-17T03:01:58.1640806Z,129,0,53,25,0
2026-08-17T03:01:58.1692283Z,132,0,53,25,0
2026-08-17T03:01:58.1741949Z,134,0,53,25,0
2026-08-17T03:01:58.1794265Z,138,0,53,25,0
2026-08-17T03:01:58.1840124Z,141,0,57,25,0
2026-08-17T03:01:58.1894383Z,144,0,58,25,0
2026-08-17T03:01:58.1942181Z,151,0,58,27,0
2026-08-17T03:01:58.1990817Z,159,0,58,31,0
2026-08-17T03:01:58.20406Z,165,0,58,33,0
2026-08-17T03:01:58.2089773Z,168,0,61,33,0
2026-08-17T03:01:58.2141616Z,174,0,63,34,0
2026-08-17T03:01:58.2190617Z,179,0,63,35,0
2026-08-17T03:01:58.2242504Z,184,0,63,37,0
2026-08-17T03:01:58.2290457Z,186,0,64,37,0
2026-08-17T03:01:58.2340238Z,190,0,65,37,0
2026-08-17T03:01:58.2390569Z,196,0,68,38,0
2026-08-17T03:01:58.2442938Z,201,0,68,39,0
2026-08-17T03:01:58.2490104Z,206,0,68,40,0
2026-08-17T03:01:58.2540214Z,208,0,69,40,0
2026-08-17T03:01:58.259349Z,213,0,71,40,0
2026-08-17T03:01:58.2644091Z,216,0,75,40,0
2026-08-17T03:01:58.2693803Z,227,0,75,43,0
2026-08-17T03:01:58.2742438Z,230,0,75,43,0
2026-08-17T03:01:58.2792882Z,234,0,75,44,0
2026-08-17T03:01:58.2844616Z,235,0,79,44,0
2026-08-17T03:01:58.2892436Z,240,0,79,46,0
2026-08-17T03:01:58.2942401Z,241,0,83,46,0
2026-08-17T03:01:58.2989149Z,244,0,85,47,0
2026-08-17T03:01:58.304169Z,252,0,86,49,0
2026-08-17T03:01:58.309215Z,256,0,86,50,0
2026-08-17T03:01:58.314339Z,259,0,86,50,0
2026-08-17T03:01:58.3189434Z,264,0,88,51,0
2026-08-17T03:01:58.3243695Z,267,0,88,51,0
2026-08-17T03:01:58.3294021Z,269,0,89,51,0
2026-08-17T03:01:58.3339431Z,273,0,91,51,0
2026-08-17T03:01:58.3396815Z,276,0,93,51,0
2026-08-17T03:01:58.3442974Z,272,0,97,51,0
2026-08-17T03:01:58.3491083Z,277,0,97,56,0
2026-08-17T03:01:58.3541525Z,273,0,101,56,0
2026-08-17T03:01:58.3594916Z,266,0,108,56,0
2026-08-17T03:01:58.3639942Z,263,0,111,56,0
2026-08-17T03:01:58.3693577Z,260,0,114,56,0
2026-08-17T03:01:58.3741793Z,255,0,119,56,0
2026-08-17T03:01:58.3790141Z,251,0,123,56,0
2026-08-17T03:01:58.384375Z,248,0,126,56,0
2026-08-17T03:01:58.3889753Z,250,0,126,58,0
2026-08-17T03:01:58.3938957Z,251,0,127,60,0
