timestamp,conn_id,data_size,offset,throughput
2026-09-02T21:59:56.2822756Z,conn2,34000,0,0.72
2026-09-02T21:59:56.3463943Z,conn1,34000,34000,1.06
2026-09-02T21:59:56.3481864Z,conn2,34000,68000,0.49
2026-09-02T21:59:56.3533041Z,conn2,34000,136000,6.34
2026-09-02T21:59:56.3565861Z,conn2,34000,204000,9.88
2026-09-02T21:59:56.3971172Z,conn2,34000,272000,0.80
2026-09-02T21:59:56.4039187Z,conn2,34000,340000,4.77
2026-09-02T21:59:56.4089495Z,conn2,34000,408000,6.45
2026-09-02T21:59:56.4105865Z,conn1,34000,102000,0.51
2026-09-02T21:59:56.4325038Z,conn2,34000,476000,1.38
2026-09-02T21:59:56.4420102Z,conn2,34000,544000,3.41
2026-09-02T21:59:56.4504863Z,conn2,34000,612000,3.83
2026-09-02T21:59:56.4645126Z,conn2,34000,680000,2.31
2026-09-02T21:59:56.4689914Z,conn1,34000,170000,0.56
2026-09-02T21:59:56.474679Z,conn2,34000,748000,3.19
2026-09-02T21:59:56.4829834Z,conn2,34000,816000,3.90
2026-09-02T21:59:56.4952943Z,conn1,34000,238000,1.23
2026-09-02T21:59:56.4967035Z,conn2,34000,884000,2.36
2026-09-02T21:59:56.5063814Z,conn2,34000,952000,3.35
2026-09-02T21:59:56.5154954Z,conn2,34000,1020000,3.56
2026-09-02T21:59:56.5272327Z,conn2,34000,1088000,2.76
2026-09-02T21:59:56.5383359Z,conn2,34000,1156000,2.92
2026-09-02T21:59:56.5394825Z,conn1,34000,306000,0.73
2026-09-02T21:59:56.549071Z,conn2,34000,1224000,3.32
2026-09-02T21:59:56.5568651Z,conn2,34000,1292000,4.16
2026-09-02T21:59:56.568814Z,conn2,34000,1360000,2.71
2026-09-02T21:59:56.570501Z,conn1,34000,374000,1.05
2026-09-02T21:59:56.5817089Z,conn2,34000,1428000,2.51
2026-09-02T21:59:56.5893051Z,conn2,34000,1496000,4.27
2026-09-02T21:59:56.6005955Z,conn2,34000,1564000,3.04
2026-09-02T21:59:56.6141448Z,conn2,34000,1632000,2.39
2026-09-02T21:59:56.6176732Z,conn1,34000,442000,0.69
2026-09-02T21:59:56.6222319Z,conn2,34000,1700000,4.01
2026-09-02T21:59:56.6336093Z,conn2,34000,1768000,2.85
2026-09-02T21:59:56.6456913Z,conn2,34000,1836000,2.68
2026-09-02T21:59:56.6495994Z,conn1,34000,510000,1.02
2026-09-02T21:59:56.6570204Z,conn2,34000,1904000,2.86
2026-09-02T21:59:56.6636027Z,conn2,34000,1972000,4.93
2026-09-02T21:59:56.6736501Z,conn2,34000,2040000,3.23
2026-09-02T21:59:56.6858988Z,conn2,34000,2108000,2.65
2026-09-02T21:59:56.6942628Z,conn1,34000,578000,0.73
2026-09-02T21:59:56.6959669Z,conn2,34000,2176000,3.22
2026-09-02T21:59:56.7048736Z,conn2,34000,2244000,3.64
2026-09-02T21:59:56.7157997Z,conn2,34000,2312000,2.97
