timestamp,connection,direction,file_offset,block_offset,block_size,server_block_size
2026-07-08T23:14:34.7291419Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,5542000,53154,68000,14846
2026-07-08T23:14:34.7506782Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,5610000,33693,68000,34307
2026-07-08T23:14:34.8057771Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,5678000,50771,68000,17229
2026-07-08T23:14:34.8400047Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,5746000,12405,68000,55595
2026-07-08T23:14:34.8825814Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,5882000,45905,68000,22095
2026-07-08T23:14:34.892474Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,5882000,46224,68000,21776
2026-07-08T23:14:34.8935567Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,6018000,17149,68000,50851
2026-07-08T23:14:34.8946465Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,6290000,12543,68000,55457
2026-07-08T23:14:34.918856Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,6358000,8358,68000,59642
2026-07-08T23:14:34.9538832Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,6494000,52409,68000,15591
2026-07-08T23:14:34.9746962Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,6766000,21279,68000,46721
2026-07-08T23:14:34.9846402Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,6902000,37676,68000,30324
2026-07-08T23:14:34.9857263Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,6970000,61279,68000,6721
2026-07-08T23:14:34.9868439Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,7106000,23341,68000,44659
2026-07-08T23:14:35.0092989Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,7378000,63994,68000,4006
2026-07-08T23:14:35.0104503Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,7650000,35111,68000,32889
2026-07-08T23:14:35.1958483Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,7718000,45490,68000,22510
2026-07-08T23:14:35.2445121Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,7854000,48251,68000,19749
2026-07-08T23:14:35.2461886Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,7990000,40930,68000,27070
2026-07-08T23:14:35.258828Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,8058000,45544,68000,22456
2026-07-08T23:14:35.3117197Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,8330000,13444,68000,54556
2026-07-08T23:14:35.3144868Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,8466000,13136,68000,54864
