timestamp,direction,file_offset,block_offset,block_size,server_block_size,server_file_offset
2026-08-15T18:20:14.4490565Z,received,0,0,68000,34000,0
2026-08-15T18:20:14.4801419Z,received,176702,0,68000,27571,1870000
2026-08-15T18:20:14.4853003Z,received,372382,0,68000,33951,2096997
2026-08-15T18:20:14.4915506Z,received,471756,0,68000,36560,2498029
2026-08-15T18:20:14.5279073Z,received,734574,0,68000,48692,4835260
2026-08-15T18:20:14.5502107Z,received,916600,0,68000,20887,6770808
2026-08-15T18:20:14.5524519Z,received,1156000,0,68000,67966,6903048
2026-08-15T18:20:14.5764114Z,received,1391932,0,68000,33255,10526133
2026-08-15T18:20:14.5869599Z,received,1513098,0,68000,27199,11392219
2026-08-15T18:20:14.6018169Z,received,1637214,0,68000,20436,12567832
2026-08-15T18:20:14.6121712Z,received,1792414,0,68000,31063,13351163
2026-08-15T18:20:14.6695126Z,received,2066063,0,68000,31726,18776561
2026-08-15T18:20:14.6882236Z,received,2312045,0,68000,40625,21282252
2026-08-15T18:20:14.7173913Z,received,2419234,0,68000,27675,24604603
2026-08-15T18:20:14.7500315Z,received,2626128,0,68000,34591,24653169
2026-08-15T18:20:14.80346Z,received,2806418,0,68000,50602,24703541
2026-08-15T18:20:14.8489953Z,received,3138128,0,68000,43462,24703541
2026-08-15T18:20:14.9320009Z,received,3363240,0,68000,23754,24771247
2026-08-15T18:20:14.9547209Z,received,3492780,0,68000,47553,24771247
2026-08-15T18:20:15.1051037Z,received,3798808,0,68000,39392,24872806
2026-08-15T18:20:15.121334Z,received,3982776,0,68000,31825,24872806
2026-08-15T18:20:15.1442065Z,received,4161480,0,68000,29695,24872806
2026-08-15T18:20:15.4920702Z,received,4451530,0,68000,26594,25133258
2026-08-15T18:20:15.4931465Z,received,4595202,0,68000,44499,25133258
2026-08-15T18:20:15.5132649Z,received,4879442,0,68000,53794,25174938
2026-08-15T18:20:15.6108413Z,received,5122330,0,68000,48692,25216618
2026-08-15T18:20:15.7796477Z,received,5365172,0,68000,55544,25299978
2026-08-15T18:20:15.8623256Z,received,5456124,0,68000,34000,25299978
2026-08-15T18:20:15.9140292Z,received,5608308,0,68000,45438,25378054
2026-08-15T18:20:15.9847684Z,received,6388614,0,68000,60061,25378054
2026-08-15T18:20:16.0273497Z,received,6772380,0,68000,48692,25378054
2026-08-15T18:20:16.0681806Z,received,6940349,0,68000,23869,25378054
2026-08-15T18:20:16.0692913Z,received,7444381,0,68000,57172,25378054
2026-08-15T18:20:16.0937844Z,received,8052473,0,68000,59542,25456130
2026-08-15T18:20:16.1105231Z,received,8594387,0,68000,61370,25456130
2026-08-15T18:20:16.1116829Z,received,9406111,0,68000,52956,25534206
2026-08-15T18:20:16.1227585Z,received,9540643,0,68000,34000,25612282
2026-08-15T18:20:16.1590744Z,received,9816351,0,68000,59418,25612282
2026-08-15T18:20:16.2014649Z,received,10499433,0,68000,57774,25612282
2026-08-15T18:20:16.2602217Z,received,10733715,0,68000,38041,25690358
2026-08-15T18:20:16.2744037Z,received,11340079,0,68000,47371,25690358
2026-08-15T18:20:16.2755215Z,received,11661536,0,68000,44050,25690358
2026-08-15T18:20:16.3931391Z,received,11805591,0,68000,37402,25690358
2026-08-15T18:20:16.459457Z,received,11819862,0,68000,34000,25846510
2026-08-15T18:20:16.569693Z,received,11919807,0,68000,29123,25924586
2026-08-15T18:20:16.5708137Z,received,12026211,0,68000,48737,25924586
2026-08-15T18:20:16.5719609Z,received,12146250,0,68000,34000,25924586
2026-08-15T18:20:16.6750307Z,received,12765697,0,68000,29029,26080738
2026-08-15T18:20:16.6761343Z,received,12968453,0,68000,35619,26158814
2026-08-15T18:20:16.6830148Z,received,13200659,0,68000,11045,26158814
2026-08-15T18:20:16.6875246Z,received,13276175,0,68000,67675,26158814
2026-08-15T18:20:16.7055765Z,received,13348607,0,68000,34120,26158814
2026-08-15T18:20:16.7503857Z,received,14005761,0,68000,44015,26314966
2026-08-15T18:20:16.7514939Z,received,14499017,0,68000,59470,26314966
2026-08-15T18:20:16.7850696Z,received,14737868,0,68000,19685,26471118
2026-08-15T18:20:16.8370138Z,received,14933560,0,68000,67959,26471118
2026-08-15T18:20:16.8540243Z,received,15151451,0,68000,64177,26471118
2026-08-15T18:20:16.9689663Z,received,15341283,0,68000,49918,26549194
2026-08-15
