timestamp,current_offset,gaps
2026-07-15T02:05:18.9679682Z,19108000,166
2026-07-15T02:05:19.0377375Z,19448000,170
2026-07-15T02:05:19.1067784Z,19720000,174
2026-07-15T02:05:19.155705Z,19924000,175
2026-07-15T02:05:19.2336519Z,20128000,178
2026-07-15T02:05:19.3085983Z,20536000,183
2026-07-15T02:05:19.4314203Z,20944000,189
2026-07-15T02:05:19.4777992Z,20944000,187
2026-07-15T02:05:19.5490664Z,21216000,191
2026-07-15T02:05:19.5974387Z,21691735,196
