timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T02:40:19.5158253Z,3,0,5,0,0
2026-08-17T02:40:19.5206361Z,7,0,7,1,0
2026-08-17T02:40:19.5258219Z,19,0,7,6,0
2026-08-17T02:40:19.5306598Z,20,0,9,6,0
2026-08-17T02:40:19.5357259Z,25,0,9,6,0
2026-08-17T02:40:19.5406919Z,27,0,13,6,0
2026-08-17T02:40:19.5458797Z,29,0,16,6,0
2026-08-17T02:40:19.5507203Z,33,0,17,7,0
2026-08-17T02:40:19.5556957Z,38,0,17,8,0
2026-08-17T02:40:19.5606572Z,40,0,19,8,0
2026-08-17T02:40:19.5656519Z,46,0,20,9,0
2026-08-17T02:40:19.5708327Z,48,0,21,9,0
2026-08-17T02:40:19.5758974Z,51,0,24,9,0
2026-08-17T02:40:19.5805686Z,53,0,24,9,0
2026-08-17T02:40:19.5856691Z,57,0,24,9,0
2026-08-17T02:40:19.5907382Z,58,0,26,9,0
2026-08-17T02:40:19.5958452Z,60,0,30,9,0
2026-08-17T02:40:19.6009775Z,64,0,30,9,0
2026-08-17T02:40:19.6061024Z,67,0,31,10,0
2026-08-17T02:40:19.6105836Z,70,0,31,10,0
2026-08-17T02:40:19.6156716Z,73,0,31,10,0
2026-08-17T02:40:19.6206967Z,76,0,32,11,0
2026-08-17T02:40:19.6258211Z,81,0,33,12,0
2026-08-17T02:40:19.6310463Z,83,0,33,12,0
2026-08-17T02:40:19.6358362Z,86,0,33,12,0
2026-08-17T02:40:19.6407368Z,89,0,34,12,0
2026-08-17T02:40:19.6456377Z,92,0,38,12,0
2026-08-17T02:40:19.6509823Z,99,0,38,14,0
2026-08-17T02:40:19.6556859Z,102,0,38,14,0
2026-08-17T02:40:19.6608086Z,109,0,38,16,0
2026-08-17T02:40:19.6657658Z,113,0,38,16,0
2026-08-17T02:40:19.6707204Z,115,0,40,16,0
2026-08-17T02:40:19.6759245Z,121,0,40,18,0
2026-08-17T02:40:19.6808432Z,126,0,42,19,0
2026-08-17T02:40:19.6855907Z,131,0,42,20,0
2026-08-17T02:40:19.6907719Z,136,0,44,20,0
2026-08-17T02:40:19.6959809Z,141,0,45,22,0
2026-08-17T02:40:19.7007234Z,145,0,45,22,0
2026-08-17T02:40:19.7057831Z,149,0,45,22,0
2026-08-17T02:40:19.7111113Z,155,0,48,24,0
2026-08-17T02:40:19.7160788Z,158,0,49,24,0
2026-08-17T02:40:19.7206815Z,167,0,49,27,0
2026-08-17T02:40:19.7259376Z,171,0,49,27,0
2026-08-17T02:40:19.7310627Z,175,0,49,28,0
2026-08-17T02:40:19.7357302Z,178,0,50,28,0
2026-08-17T02:40:19.7407379Z,183,0,52,30,0
2026-08-17T02:40:19.7458088Z,188,0,52,31,0
2026-08-17T02:40:19.7507484Z,187,0,56,31,0
2026-08-17T02:40:19.7558821Z,192,0,57,31,0
2026-08-17T02:40:19.7608139Z,196,0,58,32,0
2026-08-17T02:40:19.765885Z,202,0,58,34,0
2026-08-17T02:40:19.7706961Z,207,0,59,35,0
