timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T01:24:54.3330521Z,2,0,0,0,0
2026-08-17T01:24:54.3380636Z,5,0,0,0,0
2026-08-17T01:24:54.3433015Z,8,0,0,0,0
2026-08-17T01:24:54.3478574Z,10,0,1,0,0
2026-08-17T01:24:54.3529333Z,13,0,1,2,0
2026-08-17T01:24:54.3580584Z,17,0,1,4,0
2026-08-17T01:24:54.3633442Z,20,0,2,4,0
2026-08-17T01:24:54.3679027Z,22,0,4,4,0
2026-08-17T01:24:54.3731278Z,24,0,4,4,0
2026-08-17T01:24:54.3778573Z,25,0,6,4,0
2026-08-17T01:24:54.3830569Z,25,0,9,4,0
2026-08-17T01:24:54.3878586Z,28,0,9,4,0
2026-08-17T01:24:54.3933697Z,31,0,9,4,0
2026-08-17T01:24:54.3979076Z,31,0,11,4,0
2026-08-17T01:24:54.4031368Z,35,0,12,4,0
2026-08-17T01:24:54.4083802Z,38,0,12,4,0
2026-08-17T01:24:54.4130426Z,41,0,12,5,0
2026-08-17T01:24:54.4183299Z,43,0,12,5,0
2026-08-17T01:24:54.4234391Z,42,0,13,5,0
2026-08-17T01:24:54.4280987Z,42,0,13,5,0
2026-08-17T01:24:54.4335573Z,42,0,13,5,0
2026-08-17T01:24:54.4383745Z,42,0,13,5,0
2026-08-17T01:24:54.4434892Z,42,0,13,5,0
2026-08-17T01:24:54.4482751Z,42,0,13,5,0
2026-08-17T01:24:54.4529208Z,42,0,13,5,0
2026-08-17T01:24:54.4578454Z,43,0,13,5,0
2026-08-17T01:24:54.4630244Z,43,0,13,5,0
2026-08-17T01:24:54.468118Z,45,0,13,5,0
2026-08-17T01:24:54.4728561Z,47,0,13,5,0
2026-08-17T01:24:54.4782809Z,49,0,13,5,0
2026-08-17T01:24:54.4828638Z,50,0,13,5,0
2026-08-17T01:24:54.4882404Z,50,0,14,5,0
2026-08-17T01:24:54.4930427Z,50,0,14,5,0
2026-08-17T01:24:54.4983159Z,52,0,14,5,0
2026-08-17T01:24:54.5031275Z,53,0,15,5,0
2026-08-17T01:24:54.5080593Z,55,0,17,5,0
2026-08-17T01:24:54.5134197Z,58,0,18,5,0
2026-08-17T01:24:54.5181879Z,58,0,22,5,0
2026-08-17T01:24:54.5229408Z,59,0,23,5,0
2026-08-17T01:24:54.5282241Z,60,0,25,6,0
2026-08-17T01:24:54.5332453Z,60,0,25,6,0
2026-08-17T01:24:54.5378289Z,62,0,25,6,0
2026-08-17T01:24:54.5432093Z,66,0,25,8,0
2026-08-17T01:24:54.5480241Z,69,0,25,8,0
2026-08-17T01:24:54.5536098Z,70,0,29,9,0
2026-08-17T01:24:54.55812Z,70,0,32,9,0
2026-08-17T01:24:54.5630697Z,74,0,32,9,0
2026-08-17T01:24:54.5680107Z,74,0,32,9,0
2026-08-17T01:24:54.5732962Z,74,0,32,9,0
2026-08-17T01:24:54.5786126Z,74,0,32,9,0
2026-08-17T01:24:54.5834015Z,75,0,32,9,0
2026-08-17T01:24:54.5882352Z,78,0,32,10,0
2026-08-17T01:24:54.5928652Z,87,0,32,14,0
2026-08-17T01:24:54.5980992Z,91,0,34,15,0
2026-08-17T01:24:54.6030517Z,97,0,35,16,0
2026-08-17T01:24:54.6087617Z,97,0,35,16,0
2026-08-17T01:24:54.6130911Z,97,0,35,16,0
2026-08-17T01:24:54.6181926Z,97,0,35,16,0
2026-08-17T01:24:54.6233175Z,98,0,35,16,0
2026-08-17T01:24:54.6280789Z,102,0,35,19,0
2026-08-17T01:24:54.6331832Z,109,0,35,23,0
2026-08-17T01:24:54.6382757Z,114,0,37,26,0
2026-08-17T01:24:54.6434944Z,119,0,38,26,0
2026-08-17T01:24:54.6481686Z,120,0,40,26,0
2026-08-17T01:24:54.6528581Z,123,0,42,27,0
2026-08-17T01:24:54.6581428Z,126,0,45,29,0
2026-08-17T01:24:54.6637756Z,129,0,48,29,0
2026-08-17T01:24:54.668235Z,133,0,48,30,0
2026-08-17T01:24:54.6733975Z,134,0,48,30,0
2026-08-17T01:24:54.6783831Z,134,0,48,30,0
2026-08-17T01:24:54.6836156Z,134,0,48,30,0
2026-08-17T01:24:54.6882017Z,138,0,48,33,0
2026-08-17T01:24:54.6929591Z,143,0,48,36,0
2026-08-17T01:24:54.6982133Z,145,0,48,37,0
2026-08-17T01:24:54.7033495Z,149,0,48,40,0
2026-08-17T01:24:54.7078565Z,155,0,48,43,0
2026-08-17T01:24:54.7130469Z,159,0,48,45,0
2026-08-17T01:24:54.7185826Z,163,0,48,46,0
2026-08-17T01:24:54.7233391Z,166,0,48,48,0
2026-08-17T01:24:54.7281402Z,168,0,50,48,0
2026-08-17T01:24:54.732993Z,170,0,54,48,0
2026-08-17T01:24:54.73824Z,174,0,56,48,0
2026-08-17T01:24:54.7430611Z,175,0,56,48,0
2026-08-17T01:24:54.7481733Z,176,0,57,48,0
2026-08-17T01:24:54.7533767Z,176,0,57,48,0
2026-08-17T01:24:54.7585259Z,176,0,57,48,0
2026-08-17T01:24:54.763368Z,178,0,57,48,0
2026-08-17T01:24:54.7682806Z,181,0,57,48,0
2026-08-17T01:24:54.7732974Z,183,0,57,48,0
2026-08-17T01:24:54.7781403Z,186,0,57,48,0
2026-08-17T01:24:54.7831405Z,188,0,57,48,0
2026-08-17T01:24:54.7885482Z,193,0,58,52,0
2026-08-17T01:24:54.7934314Z,195,0,58,54,0
2026-08-17T01:24:54.7986871Z,196,0,58,55,0
2026-08-17T01:24:54.802965Z,204,0,58,58,0
2026-08-17T01:24:54.808325Z,208,0,58,58,0
2026-08-17T01:24:54.8130501Z,210,0,59,58,0
2026-08-17T01:24:54.818712Z,212,0,62,58,0
2026-08-17T01:24:54.8228966Z,211,0,64,58,0
2026-08-17T01:24:54.8283106Z,211,0,64,58,0
2026-08-17T01:24:54.833624Z,211,0,64,58,0
2026-08-17T01:24:54.8387762Z,211,0,64,58,0
2026-08-17T01:24:54.8432095Z,211,0,64,58,0
2026-08-17T01:24:54.8485274Z,211,0,64,58,0
2026-08-17T01:24:54.8535654Z,211,0,64,58,0
2026-08-17T01:24:54.8582157Z,212,0,64,58,0
2026-08-17T01:24:54.8633779Z,215,0,64,58,0
2026-08-17T01:24:54.8680936Z,216,0,64,58,0
2026-08-17T01:24:54.8732918Z,216,0,64,58,0
2026-08-17T01:24:54.8783253Z,220,0,64,58,0
2026-08-17T01:24:54.8834077Z,222,0,64,58,0
2026-08-17T01:24:54.8885004Z,223,0,64,58,0
2026-08-17T01:24:54.8937089Z,223,0,64,58,0
2026-08-17T01:24:54.8987421Z,223,0,64,58,0
2026-08-17T01:24:54.9033711Z,223,0,64,58,0
2026-08-17T01:24:54.9084131Z,223,0,64,58,0
2026-08-17T01:24:54.9135646Z,223,0,64,58,0
2026-08-17T01:24:54.9181086Z,223,0,64,58,0
2026-08-17T01:24:54.9236282Z,223,0,64,58,0
2026-08-17T01:24:54.928728Z,223,0,64,58,0
2026-08-17T01:24:54.9334774Z,223,0,64,58,0
2026-08-17T01:24:54.9385854Z,223,0,64,58,0
2026-08-17T01:24:54.9434841Z,223,0,64,58,0
2026-08-17T01:24:54.9486052Z,223,0,64,58,0
