timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T02:19:20.6514929Z,3,0,3,0,0
2026-08-17T02:19:20.6566537Z,7,0,6,2,0
2026-08-17T02:19:20.6612049Z,15,0,6,4,0
2026-08-17T02:19:20.6661391Z,18,0,8,4,0
2026-08-17T02:19:20.6713415Z,21,0,8,4,0
2026-08-17T02:19:20.6762596Z,25,0,8,4,0
2026-08-17T02:19:20.6812358Z,29,0,8,5,0
2026-08-17T02:19:20.6866406Z,35,0,8,6,0
2026-08-17T02:19:20.6912889Z,36,0,8,6,0
2026-08-17T02:19:20.6962554Z,40,0,8,6,0
2026-08-17T02:19:20.7011509Z,42,0,8,6,0
2026-08-17T02:19:20.7066039Z,46,0,8,6,0
2026-08-17T02:19:20.7113164Z,50,0,8,6,0
2026-08-17T02:19:20.716496Z,52,0,9,6,0
2026-08-17T02:19:20.7214978Z,54,0,9,7,0
2026-08-17T02:19:20.726159Z,56,0,9,7,0
2026-08-17T02:19:20.7312971Z,58,0,9,7,0
2026-08-17T02:19:20.7366465Z,61,0,9,8,0
2026-08-17T02:19:20.741417Z,63,0,11,8,0
2026-08-17T02:19:20.7462935Z,67,0,11,8,0
2026-08-17T02:19:20.751369Z,68,0,12,8,0
2026-08-17T02:19:20.7563624Z,69,0,15,8,0
2026-08-17T02:19:20.7611671Z,73,0,16,9,0
2026-08-17T02:19:20.7666284Z,77,0,16,11,0
2026-08-17T02:19:20.7714421Z,78,0,16,11,0
2026-08-17T02:19:20.7764541Z,80,0,16,11,0
2026-08-17T02:19:20.7817819Z,82,0,16,11,0
2026-08-17T02:19:20.7861673Z,83,0,17,11,0
2026-08-17T02:19:20.791652Z,84,0,20,11,0
2026-08-17T02:19:20.796273Z,87,0,23,11,0
2026-08-17T02:19:20.8013624Z,90,0,23,11,0
2026-08-17T02:19:20.8063368Z,92,0,23,11,0
2026-08-17T02:19:20.8124529Z,96,0,23,11,0
2026-08-17T02:19:20.8165271Z,99,0,24,12,0
2026-08-17T02:19:20.8215327Z,101,0,26,12,0
2026-08-17T02:19:20.8265177Z,105,0,26,14,0
2026-08-17T02:19:20.8312036Z,110,0,26,15,0
2026-08-17T02:19:20.8365034Z,111,0,27,16,0
2026-08-17T02:19:20.8418605Z,112,0,29,16,0
2026-08-17T02:19:20.8462792Z,118,0,29,18,0
2026-08-17T02:19:20.8512771Z,121,0,29,18,0
2026-08-17T02:19:20.8563826Z,121,0,32,18,0
2026-08-17T02:19:20.861606Z,127,0,32,20,0
2026-08-17T02:19:20.8664633Z,134,0,32,23,0
2026-08-17T02:19:20.8717882Z,136,0,32,23,0
2026-08-17T02:19:20.8763565Z,138,0,35,23,0
2026-08-17T02:19:20.8813783Z,144,0,35,25,0
2026-08-17T02:19:20.8864584Z,150,0,35,28,0
2026-08-17T02:19:20.8912856Z,152,0,35,28,0
2026-08-17T02:19:20.8964454Z,154,0,36,28,0
2026-08-17T02:19:20.9013667Z,158,0,36,29,0
2026-08-17T02:19:20.9061698Z,160,0,37,29,0
2026-08-17T02:19:20.9111497Z,163,0,38,29,0
2026-08-17T02:19:20.9164855Z,164,0,40,29,0
2026-08-17T02:19:20.9213817Z,166,0,42,29,0
2026-08-17T02:19:20.9262677Z,169,0,45,29,0
2026-08-17T02:19:20.9311769Z,172,0,48,30,0
2026-08-17T02:19:20.9362304Z,176,0,51,31,0
2026-08-17T02:19:20.9412885Z,178,0,54,32,0
2026-08-17T02:19:20.9461315Z,181,0,56,32,0
2026-08-17T02:19:20.9516577Z,184,0,58,32,0
2026-08-17T02:19:20.9564657Z,189,0,58,34,0
2026-08-17T02:19:20.9614117Z,195,0,58,37,0
2026-08-17T02:19:20.9663608Z,200,0,58,38,0
2026-08-17T02:19:20.9714622Z,203,0,58,38,0
2026-08-17T02:19:20.9765904Z,207,0,58,38,0
2026-08-17T02:19:20.9813978Z,209,0,58,38,0
