timestamp,file_offset,block_offset,block_size,server_block_size,current_offset
2026-08-17 04:19:20.644435,500000,0,68000,34000,0
2026-08-17 04:19:20.652587,534000,0,68000,34000,272000
2026-08-17 04:19:20.658859,602000,0,68000,34000,544000
2026-08-17 04:19:20.661204,704000,0,68000,34000,612000
2026-08-17 04:19:20.666139,738000,0,68000,17000,782000
2026-08-17 04:19:20.668430,772000,0,68000,45333,816000
2026-08-17 04:19:20.674046,840000,0,68000,45333,1014332
2026-08-17 04:19:20.684373,908000,0,68000,34000,1347530
2026-08-17 04:19:20.720389,942000,0,68000,34000,2181663
2026-08-17 04:19:20.722685,1010000,0,68000,61200,2215663
2026-08-17 04:19:20.725642,1078000,0,68000,61200,2249663
2026-08-17 04:19:20.728070,1272000,0,68000,61200,2249663
2026-08-17 04:19:20.747456,1340000,0,68000,34000,2854863
2026-08-17 04:19:20.762873,1442000,0,68000,34000,3052063
2026-08-17 04:19:20.767188,1510000,0,68000,34000,3092863
2026-08-17 04:19:20.774421,1542664,0,68000,61200,3160863
2026-08-17 04:19:20.797841,1544000,0,68000,34000,3840863
2026-08-17 04:19:20.801362,1612000,0,68000,6800,3908863
2026-08-17 04:19:20.803362,1748000,0,68000,6800,3942863
2026-08-17 04:19:20.824821,1816000,0,68000,34000,4146863
2026-08-17 04:19:20.828646,1850000,0,68000,30908,4248863
2026-08-17 04:19:20.844623,1884000,0,68000,61200,4402171
2026-08-17 04:19:20.847303,1935000,0,68000,6800,4531371
2026-08-17 04:19:20.862154,2070999,0,68000,6800,4728571
2026-08-17 04:19:20.882525,2206998,0,68000,34000,5171991
2026-08-17 04:19:20.901366,2252331,0,68000,34000,5566391
2026-08-17 04:19:20.911694,2331664,0,68000,34000,5695591
2026-08-17 04:19:20.952732,2410997,0,68000,34000,6722391
2026-08-17 04:19:20.956465,2664863,0,68000,20400,6790391
2026-08-17 04:19:20.960389,2766863,0,68000,19490,6865191
2026-08-17 04:19:20.961934,2868863,0,68000,6800,6885591
2026-08-17 04:19:20.963713,2964063,0,68000,6800,6905081
2026-08-17 04:19:20.967486,3120463,0,68000,35172,6925481
2026-08-17 04:19:20.969654,3154463,0,68000,12142,6932281
2026-08-17 04:19:20.992628,3256463,0,68000,34000,7184563
2026-08-17 04:19:20.999989,3324463,0,68000,6800,7422563
2026-08-17 04:19:21.005377,3419663,0,68000,22666,7476963
2026-08-17 04:19:21.019290,3453663,0,68000,34000,7835093
2026-08-17 04:19:21.022070,3514863,0,68000,6800,7930293
2026-08-17 04:19:21.027383,3576063,0,68000,34000,7971093
2026-08-17 04:19:21.032496,3593063,0,68000,34000,8018693
2026-08-17 04:19:21.060133,3654263,0,68000,34000,8902693
2026-08-17 04:19:21.061808,3763063,0,68000,42500,8936693
2026-08-17 04:19:21.064169,3824263,0,68000,26153,9013193
2026-08-17 04:19:21.065354,3919463,0,68000,35789,9055693
2026-08-17 04:19:21.067568,3953463,0,68000,28333,9117635
2026-08-17 04:19:21.068592,4075863,0,68000,6800,9153424
2026-08-17 04:19:21.072458,4164263,0,68000,6800,9188557
2026-08-17 04:19:21.107637,4198263,0,68000,34000,9412957
2026-08-17 04:19:21.109418,4313863,0,68000,40800,9412957
2026-08-17 04:19:21.110838,4364863,0,68000,25185,9412957
2026-08-17 04:19:21.111543,4398863,0,68000,6800,9412957
2026-08-17 04:19:21.113831,4432863,0,68000,6800,9412957
2026-08-17 04:19:21.199107,4528063,0,68000,34000,9412957
2026-08-17 04:19:21.200946,4684463,0,68000,30909,9419757
2026-08-17 04:19:21.202899,4786463,0,68000,20000,9419757
2026-08-17 04:19:21.205506,4820463,0,68000,6800,9419757
2026-08-17 04:19:21.206537,4942863,0,68000,6800,9419757
2026-08-17 04:19:21.208298,5044863,0,68000,6800,9419757
2026-08-17 04:19:21.209585,5112863,0,68000,17000,9453757
2026-08-17 04:19:21.212200,5221663,0,68000,6800,9453757
2026-08-17 04:19:21.212766,5276063,0,68000,6800,9453757
2026-08-17 04:19:21.215975,5430197,0,68000,43693,9453757
2026-08-17 04:19:21.217719,5532198,0,68000,30709,9453757
2026-08-17 04:19:21.219460,5645531,0,68000,26691,9514957
2026-08-17 04:19:21.226972,5724865,0,68000,44551,9514957
2026-08-17 04:19:21.229523,5830574,0,68000,31384,9514957
2026-08-17 04:19:21.232155,5951840,0,68000,37400,9576157
2026-08-17 04:19:21.234518,6013040,0,68000,17079,9576157
2026-08-17 04:19:21.236596,6155840,0,68000,6800,9613249
2026-08-17 04:19:21.238917,6230640,0,68000,6800,9613249
2026-08-17 04:19:21.241303,6264640,0,68000,6800,9613249
2026-08-17 04:19:21.243753,6332640,0,68000,6800,9613249
2026-08-17 04:19:21.246063,6427840,0,68000,6800,9613249
2026-08-17 04:19:21.247843,6502640,0,68000,14166,9613249
2026-08-17 04:19:21.249627,6536640,0,68000,6800,9613249
