timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T01:58:31.8382201Z,2,0,5,1,0
2026-08-17T01:58:31.843781Z,8,0,7,4,0
2026-08-17T01:58:31.8484858Z,13,0,8,5,0
2026-08-17T01:58:31.853242Z,18,0,8,5,0
2026-08-17T01:58:31.8582706Z,22,0,11,6,0
2026-08-17T01:58:31.8634094Z,28,0,11,6,0
2026-08-17T01:58:31.8683417Z,31,0,11,6,0
2026-08-17T01:58:31.873576Z,41,0,11,8,0
2026-08-17T01:58:31.8783858Z,44,0,11,8,0
2026-08-17T01:58:31.8835722Z,49,0,11,9,0
2026-08-17T01:58:31.8884414Z,50,0,12,9,0
2026-08-17T01:58:31.8933666Z,54,0,12,9,0
2026-08-17T01:58:31.8983984Z,61,0,12,12,0
2026-08-17T01:58:31.9032019Z,69,0,12,16,0
2026-08-17T01:58:31.908696Z,75,0,12,17,0
2026-08-17T01:58:31.9134562Z,83,0,12,20,0
2026-08-17T01:58:31.9181092Z,86,0,13,21,0
2026-08-17T01:58:31.9233727Z,90,0,14,21,0
2026-08-17T01:58:31.9283393Z,96,0,14,23,0
2026-08-17T01:58:31.933641Z,97,0,17,23,0
2026-08-17T01:58:31.9383965Z,99,0,17,23,0
2026-08-17T01:58:31.9431486Z,101,0,17,23,0
2026-08-17T01:58:31.9487238Z,104,0,22,24,0
2026-08-17T01:58:31.9531813Z,105,0,27,24,0
2026-08-17T01:58:31.9585484Z,109,0,29,24,0
2026-08-17T01:58:31.9634546Z,116,0,29,27,0
2026-08-17T01:58:31.9688567Z,117,0,29,27,0
2026-08-17T01:58:31.9738289Z,117,0,29,27,0
2026-08-17T01:58:31.979097Z,117,0,29,27,0
2026-08-17T01:58:31.983528Z,117,0,29,27,0
2026-08-17T01:58:31.9883365Z,120,0,29,27,0
2026-08-17T01:58:31.9933583Z,129,0,29,34,0
2026-08-17T01:58:31.9983179Z,133,0,29,36,0
2026-08-17T01:58:32.0041853Z,147,0,30,36,0
2026-08-17T01:58:32.0085809Z,157,0,30,36,0
2026-08-17T01:58:32.0131854Z,160,0,30,36,0
2026-08-17T01:58:32.0183967Z,162,0,34,36,0
2026-08-17T01:58:32.0234872Z,166,0,36,37,0
2026-08-17T01:58:32.0284372Z,172,0,36,40,0
2026-08-17T01:58:32.0333926Z,175,0,38,40,0
2026-08-17T01:58:32.0388127Z,176,0,41,40,0
2026-08-17T01:58:32.0433129Z,176,0,41,40,0
2026-08-17T01:58:32.0481243Z,179,0,42,40,0
2026-08-17T01:58:32.0532471Z,185,0,44,42,0
2026-08-17T01:58:32.058583Z,189,0,44,42,0
2026-08-17T01:58:32.0635001Z,193,0,44,43,0
2026-08-17T01:58:32.0682965Z,198,0,44,44,0
2026-08-17T01:58:32.0733815Z,203,0,44,44,0
2026-08-17T01:58:32.0781978Z,209,0,44,46,0
2026-08-17T01:58:32.0833642Z,211,0,47,46,0
2026-08-17T01:58:32.0885147Z,217,0,50,47,0
2026-08-17T01:58:32.0933484Z,216,0,55,47,0
2026-08-17T01:58:32.0982026Z,219,0,57,49,0
2026-08-17T01:58:32.1036178Z,225,0,57,51,0
2026-08-17T01:58:32.1085793Z,228,0,57,52,0
