timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T02:57:41.9182704Z,5,0,4,0,0
2026-08-17T02:57:41.9232928Z,6,0,7,0,0
2026-08-17T02:57:41.9285336Z,11,0,12,0,0
2026-08-17T02:57:41.9331996Z,16,0,14,0,0
2026-08-17T02:57:41.9385853Z,19,0,17,0,0
2026-08-17T02:57:41.9435824Z,24,0,20,0,0
2026-08-17T02:57:41.9485719Z,27,0,22,1,0
2026-08-17T02:57:41.9531653Z,33,0,26,1,0
2026-08-17T02:57:41.9583282Z,38,0,31,1,0
2026-08-17T02:57:41.9635923Z,43,0,31,1,0
2026-08-17T02:57:41.9684539Z,46,0,31,1,0
2026-08-17T02:57:41.9733593Z,50,0,31,1,0
2026-08-17T02:57:41.9786678Z,57,0,32,2,0
2026-08-17T02:57:41.98443Z,61,0,33,2,0
2026-08-17T02:57:41.9881837Z,67,0,34,3,0
2026-08-17T02:57:41.9934435Z,71,0,35,3,0
2026-08-17T02:57:41.9986535Z,76,0,38,3,0
2026-08-17T02:57:42.0033808Z,82,0,39,3,0
2026-08-17T02:57:42.008465Z,86,0,39,3,0
2026-08-17T02:57:42.0134062Z,91,0,39,4,0
2026-08-17T02:57:42.0182474Z,95,0,39,5,0
2026-08-17T02:57:42.0234959Z,97,0,42,5,0
2026-08-17T02:57:42.0286196Z,101,0,48,5,0
2026-08-17T02:57:42.0336433Z,104,0,50,5,0
2026-08-17T02:57:42.038589Z,108,0,50,6,0
2026-08-17T02:57:42.0436428Z,112,0,50,6,0
2026-08-17T02:57:42.048279Z,114,0,52,6,0
2026-08-17T02:57:42.0534394Z,121,0,53,8,0
2026-08-17T02:57:42.0584726Z,124,0,57,9,0
2026-08-17T02:57:42.0636198Z,121,0,69,9,0
2026-08-17T02:57:42.0686271Z,124,0,72,9,0
2026-08-17T02:57:42.0732165Z,127,0,72,9,0
2026-08-17T02:57:42.0783382Z,130,0,75,9,0
2026-08-17T02:57:42.0836215Z,135,0,76,9,0
2026-08-17T02:57:42.0886716Z,139,0,80,9,0
2026-08-17T02:57:42.0937113Z,143,0,80,9,0
2026-08-17T02:57:42.0991171Z,144,0,85,9,0
2026-08-17T02:57:42.1033233Z,144,0,89,9,0
2026-08-17T02:57:42.1086153Z,146,0,93,9,0
2026-08-17T02:57:42.1135298Z,151,0,95,10,0
2026-08-17T02:57:42.118453Z,156,0,96,10,0
2026-08-17T02:57:42.123176Z,158,0,101,11,0
2026-08-17T02:57:42.1286247Z,164,0,103,13,0
2026-08-17T02:57:42.133609Z,167,0,103,13,0
2026-08-17T02:57:42.1384524Z,168,0,106,13,0
2026-08-17T02:57:42.1434129Z,175,0,106,15,0
2026-08-17T02:57:42.1487182Z,180,0,108,16,0
2026-08-17T02:57:42.1534583Z,183,0,114,16,0
2026-08-17T02:57:42.1582772Z,188,0,114,16,0
2026-08-17T02:57:42.1634578Z,190,0,115,16,0
